Reinhard Ammer,GRÜNE,Mann
Margit Angerlehner,ÖVP,Frau
Thomas Antlinger,SPÖ,Mann
Julia Bammer,NEOS,Frau
Anne-Sophie Bauer,GRÜNE,Frau
Dagmar Engl,GRÜNE,Frau
Sabine Engleitner-Neu,SPÖ,Frau
Elisabeth Gneißl,ÖVP,Frau
Florian Grünberger,ÖVP,Mann
Dagmar Häusler,MFG,Frau
Renate Heitz,SPÖ,Frau
Rudolf Hemetsberger,GRÜNE,Mann
Tobias Höglinger,SPÖ,Mann
Manuel Krautgartner,MFG,Mann
Günther Lengauer,ÖVP,Mann
Christian Mader,ÖVP,Mann
Klaus Mühlbacher,ÖVP,Mann
Ines Vukajlović,GRÜNE,Frau
Astrid Zehetmair,ÖVP,Frau
Stefanie Hofmann,FPÖ,Frau
Markus Steinmaurer,FPÖ,Mann
Franz Ebner,ÖVP,Mann
Alexandra Platzer,ÖVP,Frau
Mario Haas,SPÖ,Mann
Sascha Obrecht,SPÖ,Mann
Florian Krumböck,ÖVP,Mann
