Luca Geistler,FPÖ,Mann
Philipp Könighofer,FPÖ,Mann
Eva Maria Kroismayr-Baier,FPÖ,Frau
Thomas Maier,FPÖ,Mann
Stefan Resch,FPÖ,Mann
Willibald Spörk,FPÖ,Mann
Michael Wagner,FPÖ,Mann
Kerstin Zambo,FPÖ,Frau
Alexander Melinz,KPÖ,Mann
Bettina Schoeller,NEOS,Frau
Klaudia Stroißnig,ÖVP,Frau
Jochen Bocksruker,SPÖ,Mann
Chiara Glawogger,SPÖ,Frau
 Antonia Herunter ,ÖVP,Frau
Manfred Repolust ,FPÖ,Mann
Werner Gradwohl,FPÖ,Mann
Robert Mörth,FPÖ,Mann
Markus Konrad,FPÖ,Mann
Alexander Putzenbacher,FPÖ,Mann
Johannes Wieser,ÖVP,Mann
