Astrid Mair,ÖVP,Frau,
René Zumtobel,SPÖ,Mann,
Eva Pawlata,SPÖ,Frau,
Christoph Stillebacher ,ÖVP,Mann,
Markus Stotter,ÖVP,Mann,
Christoph Appler,ÖVP,Mann,
Zeliha Arslan,GRÜNE,Frau,
Sonja Föger-Kalchschmied,SPÖ,Frau,
Beate Scheiber ,ÖVP,Frau,
Iris Zangerl-Walser,ÖVP,Frau,
Herwig Zöttl ,FRITZ,Mann,Erledigt
Michael Jäger ,ÖVP,Mann,
Petra Wohlfahrtstätter ,GRÜNE,Frau,
Andreas Gang ,FPÖ,Mann,
Gudrun Kofler ,FPÖ,Frau,
Birgit Obermüller,NEOS,Frau,
Peter Seiwald,ÖVP,Mann,
Daniel Schmid,SPÖ,Mann,
Daniel Marschik,FPÖ,Mann,
