Lukas Brucker,FPÖ,Mann,
Lukas Burian,NEOS,Mann,
Andreas Bussek,FPÖ,Mann,
Sara do Amaral Tavares da Costa,SPÖ,Frau,
Clemens Gudenus,FPÖ,Mann,
Roland Guggenberger,FPÖ,Mann,
Jing Hu,NEOS,Frau,
Thomas Kreutzinger,FPÖ,Mann,
Thomas Mader,SPÖ,Mann,
Lorenz Mayer,ÖVP,Mann,
Michael Niegl,FPÖ,Mann,
Nikola Poljak,SPÖ,Mann,
Klemens Resch,FPÖ,Mann,
Alexandra Rezaei,SPÖ,Frau,
Denis Šakic,SPÖ,Mann,
Theresa Schneckenreither,GRÜNE,Frau,
Alice Seidl,SPÖ,Frau,
Ilija Tufegdzic,FPÖ,Mann,
Christina Wirnsberger,GRÜNE,Frau,Tina Wirnsberger
Filip Worotynski,SPÖ,Mann,
Alexander Ackerl,SPÖ,Mann,
Arabel Bernecker-Thiel,NEOS,Frau,
